locus_tag,gene,srm_ response,concentration,peptides_per_protein
Rv3865,espF,5552289,8,3
Rv0250c,,5548700,8,3
Rv2981c,ddlA,5544600,8,3
Rv2241,aceE,5531454,8,3
Rv3734c,,5528551,8,3
Rv1437,pgk,5523977,8,7
Rv0500,proC,5521567,8,3
Rv2524c,fas,5468149,8,3
Rv2091c,,5435615,8,3
Rv1306,atpF,5427514,8,3
Rv3864,espE,5401611,8,4
Rv1876,bfrA,5378265,8,2
Rv1834,lipZ,5366450,8,2
Rv3583c,,5362509,8,3
Rv0889c,citA,5211021,8,3
Rv1833c,,5209359,8,2
Rv1508c,,5190054,8,3
Rv0720,rplR,5189043,8,3
Rv3774,echA21,5176171,8,3
Rv3000,,5155726,8,3
Rv0641,rplA,5145376,8,2
Rv0186,bglS,5143949,8,5
Rv2448c,valS,5076810,8,3
Rv0231,fadE4,5025625,8,4
Rv0905,echA6,5011706,8,2
Rv1466,,5009926,8,2
Rv3099c,,4964713,8,3
Rv2453c,mobA,4952506,8,3
Rv1180,pks3,4951254,8,5
Rv3868,eccA1,4943418,7,7
Rv2166c,,4931922,7,3
Rv2455c,,4921331,7,3
Rv2298,,4914607,7,3
Rv3283,sseA,4896574,7,3
Rv3584,lpqE,4893193,7,3
Rv3531c,,4878508,7,2
Rv1594,nadA,4870519,7,2
Rv0484c,,4857188,7,4
Rv1658,argG,4853349,7,3
Rv3489,,4852598,7,3
Rv1770,,4852267,7,3
Rv0180c,,4826536,7,3
Rv3463,,4798979,7,5
Rv3206c,moeB1,4792416,7,3
Rv1443c,,4773630,7,3
Rv2294,,4772239,7,3
Rv3295,,4743477,7,4
Rv1406,fmt,4727339,7,3
Rv1080c,greA,4727145,7,2
Rv2061c,,4722408,7,3
Rv1611,trpC,4686191,7,2
Rv0723,rplO,4685034,7,3
Rv3509c,ilvX,4672794,7,3
Rv3803c,fbpD,4655271,7,2
Rv1099c,glpX,4622685,7,3
Rv1483,fabG1,4616772,7,3
Rv2109c,prcA,4591577,7,3
Rv3520c,,4588710,7,2
Rv3709c,ask,4584158,7,2
Rv0352,dnaJ1,4581279,7,3
Rv0088,,4545103,7,3
Rv1978,,4524130,7,6
Rv0007,,4519029,7,2
Rv3692,moxR2,4507974,7,3
Rv1122,gnd2,4487006,7,3
Rv1471,trxB1,4460751,7,3
Rv2952,,4444186,7,3
Rv2579,dhaA,4435240,7,3
Rv0129c,fbpC,4425478,7,3
Rv0853c,pdc,4424991,7,3
Rv3708c,asd,4414543,7,4
Rv3161c,,4402110,7,3
Rv1296,thrB,4370154,7,2
Rv0809,purM,3033459,7,4
Rv0418,lpqL,4329766,7,6
Rv2222c,glnA2,4318524,7,3
Rv0462,lpdC,4290491,7,3
Rv1060,,4286408,7,3
Rv2226,,4254099,6,3
Rv2861c,mapB,4223410,6,4
Rv2935,ppsE,4202914,6,3
Rv2427c,proA,3683202,6,4
Rv1559,ilvA,4169532,6,3
Rv1423,whiA,4154334,6,2
Rv3888c,,4152407,6,6
Rv1391,dfp,4150122,6,3
Rv0222,echA1,4133294,6,5
Rv3094c,,4123093,6,3
Rv3140,fadE23,4114014,6,3
Rv1410c,,4113181,6,2
Rv2050,,4104598,6,4
Rv1275,lprC,4088113,6,2
Rv2159c,,4078130,6,3
Rv1177,fdxC,4077376,6,2
Rv2676c,,4071816,6,4
Rv0714,rplN,4050781,6,2
Rv0753c,mmsA,4042485,6,3
Rv0470c,pcaA,4041625,6,2
Rv1463,,4013600,6,3
Rv2454c,,4010963,6,2
Rv3281,accE5,4005133,6,3
Rv2210c,ilvE,4001755,6,3
Rv1006,,3999416,6,3
Rv2187,fadD15,3967239,6,5
Rv0272c,,3959116,6,3
Rv2976c,ung,3926744,6,4
Rv2339,mmpL9,3918961,6,3
Rv3169,,3891845,6,3
Rv3143,,3881958,6,3
Rv0537c,,3873841,6,3
Rv2919c,glnB,3870428,6,2
Rv2778c,,3859009,6,3
Rv2928,tesA,2980488,6,2
Rv2754c,thyX,3854953,6,2
Rv2441c,rpmA,3846909,6,3
Rv2582,ppiB,3839075,6,3
Rv3390,lpqD,3838398,6,4
Rv1955,higA1,3809855,6,3
Rv3515c,fadD19,3808198,6,4
Rv3137,,3806977,6,3
Rv1751,,3800575,6,2
Rv1261c,,3761819,6,3
Rv3813c,,3757261,6,3
Rv3396c,guaA,3742318,6,3
Rv2211c,gcvT,3721741,6,3
Rv0183,,3709670,6,3
Rv1020,mfd,3706652,6,4
Rv0223c,,3700109,6,7
Rv0360c,,3698266,6,3
Rv0333,,3694871,6,3
Rv0036c,,3690735,6,4
Rv1333,,3688956,6,3
Rv3051c,nrdE,3687626,6,3
Rv2216,,3683767,6,2
Rv3547,ddn,3652649,6,3
Rv1304,atpB,3643241,6,2
Rv1627c,,3629918,6,3
Rv0583c,lpqN,3624787,6,2
Rv3061c,fadE22,3619608,6,3
Rv2716,,3616866,6,3
Rv3042c,serB2,3592913,5,6
Rv0794c,,3578710,5,5
Rv0688,,3567509,5,3
Rv1156,,3546530,5,2
Rv2627c,,3519784,5,5
Rv1097c,,3495582,5,2
Rv0731c,,3487497,5,4
Rv3311,,3479620,5,3
